Spring 2019	Term	Chaucer and the Medieval Narrative	Historical Engagement English Course					
Spring 2019	Term	Modern and Contemporary Poetry	Diverse Perspectives					
Spring 2019	Term	Postcolonial Literature and Theory	Criticism or Theory English Course					
Spring 2019	Term	Linear Algebra	Linear Algebra					
Spring 2019	Term	Introduction to Number Theory with Applications to Cryptography	Mathematics					
Spring 2019	Term	Theory of Computation IV	Mathematics					
Spring 2019	Term	Elementary Latin II	Greek or Latin					
Spring 2019	Term	Elementary Homeric Greek II	Greek or Latin					
Spring 2019	Term	Beginning French II	Foreign Language					
Spring 2019	Term	Elementary Spanish II	Foreign Language					
Spring 2019	Term	First Year Modern Chinese II	Chinese Language	Foreign Language	Humanties LAC			
Spring 2019	Term	Advanced Latin: Horace, Satires	Greek or Latin	Greek and Roman Culture				
Spring 2019	Term	Advanced Greek: Euripides Cyclops	Greek or Latin	Greek and Roman Culture				
Spring 2019	Term	Third Year Modern Chinese II	Chinese Language	Foreign Language	Humanities LAC			
Spring 2019	Term	The Age of Openness: China before Mao	Chinese Literature and Culture					
Spring 2019	Term	Introduction to Hinduism	East Asia Course					
